 PdfType: central
 Format: lhagrid1
 ---
0.100000E-06 0.108814E-06 0.118405E-06 0.128842E-06 0.140199E-06 0.152556E-06 0.166003E-06 0.180635E-06 0.196556E-06 0.213881E-06 0.232733E-06 0.253247E-06 0.275569E-06 0.299858E-06 0.326289E-06 0.355049E-06 0.386343E-06 0.420397E-06 0.457452E-06 0.497773E-06 0.541648E-06 0.589390E-06 0.641340E-06 0.697869E-06 0.759381E-06 0.826315E-06 0.899148E-06 0.978401E-06 0.106464E-05 0.115848E-05 0.126059E-05 0.137170E-05 0.149261E-05 0.162417E-05 0.176733E-05 0.192310E-05 0.209261E-05 0.227705E-05 0.247776E-05 0.269615E-05 0.293379E-05 0.319238E-05 0.347376E-05 0.377994E-05 0.411311E-05 0.447564E-05 0.487013E-05 0.529939E-05 0.576647E-05 0.627473E-05 0.682778E-05 0.742958E-05 0.808442E-05 0.879697E-05 0.957232E-05 0.104160E-04 0.113341E-04 0.123330E-04 0.134200E-04 0.146028E-04 0.158898E-04 0.172903E-04 0.188141E-04 0.204723E-04 0.222766E-04 0.242399E-04 0.263762E-04 0.287007E-04 0.312301E-04 0.339823E-04 0.369770E-04 0.402356E-04 0.437813E-04 0.476394E-04 0.518374E-04 0.564052E-04 0.613754E-04 0.667834E-04 0.726678E-04 0.790704E-04 0.860368E-04 0.936168E-04 0.101864E-03 0.110838E-03 0.120602E-03 0.131225E-03 0.142783E-03 0.155359E-03 0.169041E-03 0.183927E-03 0.200122E-03 0.217743E-03 0.236912E-03 0.257767E-03 0.280456E-03 0.305139E-03 0.331990E-03 0.361199E-03 0.392974E-03 0.427538E-03 0.465135E-03 0.506030E-03 0.550510E-03 0.598889E-03 0.651505E-03 0.708728E-03 0.770957E-03 0.838628E-03 0.912211E-03 0.992219E-03 0.107921E-02 0.117378E-02 0.127658E-02 0.138832E-02 0.150978E-02 0.164177E-02 0.178520E-02 0.194104E-02 0.211034E-02 0.229424E-02 0.249397E-02 0.271085E-02 0.294633E-02 0.320193E-02 0.347933E-02 0.378031E-02 0.410681E-02 0.446089E-02 0.484478E-02 0.526085E-02 0.571167E-02 0.619996E-02 0.672863E-02 0.730079E-02 0.791976E-02 0.858903E-02 0.931236E-02 0.100937E-01 0.109371E-01 0.118471E-01 0.128283E-01 0.138854E-01 0.150236E-01 0.162480E-01 0.175642E-01 0.189777E-01 0.204945E-01 0.221204E-01 0.238615E-01 0.257240E-01 0.277142E-01 0.298384E-01 0.321029E-01 0.345140E-01 0.370778E-01 0.398004E-01 0.426878E-01 0.457456E-01 0.489794E-01 0.523943E-01 0.559952E-01 0.597865E-01 0.637726E-01 0.679569E-01 0.723428E-01 0.769332E-01 0.817302E-01 0.867359E-01 0.919516E-01 0.973781E-01 0.103016E+00 0.108865E+00 0.114925E+00 0.121195E+00 0.127674E+00 0.134360E+00 0.141251E+00 0.148345E+00 0.155640E+00 0.163132E+00 0.170818E+00 0.178696E+00 0.186761E+00 0.195010E+00 0.203441E+00 0.212048E+00 0.220828E+00 0.229777E+00 0.238892E+00 0.248167E+00 0.257601E+00 0.267187E+00 0.276923E+00 0.286805E+00 0.296829E+00 0.306991E+00 0.317288E+00 0.327715E+00 0.338270E+00 0.348948E+00 0.359747E+00 0.370663E+00 0.381693E+00 0.392834E+00 0.404082E+00 0.415435E+00 0.426889E+00 0.438443E+00 0.450092E+00 0.461836E+00 0.473670E+00 0.485593E+00 0.497601E+00 0.509694E+00 0.521867E+00 0.534120E+00 0.546450E+00 0.558855E+00 0.571333E+00 0.583882E+00 0.596501E+00 0.609186E+00 0.621938E+00 0.634753E+00 0.647631E+00 0.660569E+00 0.673566E+00 0.686621E+00 0.699733E+00 0.712899E+00 0.726119E+00 0.739391E+00 0.752714E+00 0.766086E+00 0.779507E+00 0.792975E+00 0.806490E+00 0.820050E+00 0.833654E+00 0.847301E+00 0.860990E+00 0.874720E+00 0.888490E+00 0.902300E+00 0.916149E+00 0.930034E+00 0.943957E+00 0.957916E+00 0.971910E+00 0.985938E+00 0.100000E+01
0.130000E+01 0.134367E+01 0.139460E+01 0.145425E+01 0.152448E+01 0.160761E+01 0.170666E+01 0.182550E+01 0.196924E+01 0.214467E+01 0.236096E+01 0.263071E+01 0.297149E+01 0.340829E+01 0.397741E+01 0.473271E+01 0.575610E+01 0.717552E+01 0.919672E+01 0.121615E+02 0.166579E+02 0.237390E+02 0.353735E+02 0.554251E+02 0.918959E+02 0.162382E+03 0.308260E+03 0.634386E+03 0.142975E+04 0.356953E+04 0.100000E+05
 -5 -4 -3 -2 -1 1 2 3 4 5 21
 -0.000000E+00  0.177675E-04  0.999800E-01  0.100799E+01  0.809059E+00  0.809081E+00  0.100801E+01  0.999800E-01  0.177675E-04 -0.000000E+00 -0.111985E-01
 -0.000000E+00  0.557814E-02  0.110985E+00  0.101744E+01  0.818826E+00  0.818839E+00  0.101744E+01  0.110985E+00  0.557814E-02 -0.000000E+00  0.346013E+00
 -0.000000E+00  0.208077E-01  0.125398E+00  0.103009E+01  0.831879E+00  0.831896E+00  0.103010E+01  0.125398E+00  0.208077E-01 -0.000000E+00  0.788937E+00
 -0.000000E+00  0.443308E-01  0.144163E+00  0.104726E+01  0.849412E+00  0.849440E+00  0.104728E+01  0.144163E+00  0.443308E-01 -0.000000E+00  0.135223E+01
 -0.000000E+00  0.700617E-01  0.168937E+00  0.106960E+01  0.872324E+00  0.872354E+00  0.106963E+01  0.168937E+00  0.700617E-01 -0.000000E+00  0.209153E+01
 -0.000000E+00  0.102691E+00  0.201143E+00  0.109985E+01  0.903024E+00  0.903055E+00  0.109988E+01  0.201143E+00  0.102691E+00 -0.000000E+00  0.305402E+01
 -0.000000E+00  0.145324E+00  0.243243E+00  0.114013E+01  0.943634E+00  0.943667E+00  0.114016E+01  0.243243E+00  0.145324E+00 -0.000000E+00  0.431600E+01
 -0.000000E+00  0.200864E+00  0.298312E+00  0.119284E+01  0.996864E+00  0.996901E+00  0.119287E+01  0.298312E+00  0.200864E+00 -0.000000E+00  0.596993E+01
 -0.000000E+00  0.273361E+00  0.370197E+00  0.126226E+01  0.106679E+01  0.106683E+01  0.126229E+01  0.370197E+00  0.273361E+00 -0.000000E+00  0.815174E+01
 -0.000000E+00  0.367800E+00  0.463935E+00  0.135332E+01  0.115851E+01  0.115855E+01  0.135336E+01  0.463935E+00  0.367800E+00 -0.000000E+00  0.110331E+02
 -0.000000E+00  0.490910E+00  0.586515E+00  0.147295E+01  0.127872E+01  0.127877E+01  0.147299E+01  0.586515E+00  0.490910E+00 -0.000000E+00  0.148497E+02
 -0.000000E+00  0.651364E+00  0.746086E+00  0.162951E+01  0.143594E+01  0.143598E+01  0.162955E+01  0.746086E+00  0.651364E+00 -0.000000E+00  0.199081E+02
 -0.000000E+00  0.860138E+00  0.954304E+00  0.183434E+01  0.164151E+01  0.164156E+01  0.183438E+01  0.954304E+00  0.860138E+00 -0.000000E+00  0.266196E+02
 -0.000000E+00  0.113167E+01  0.122500E+01  0.210154E+01  0.190949E+01  0.190954E+01  0.210158E+01  0.122500E+01  0.113167E+01 -0.000000E+00  0.355109E+02
 -0.000000E+00  0.148443E+01  0.157713E+01  0.244967E+01  0.225846E+01  0.225851E+01  0.244972E+01  0.157713E+01  0.148443E+01 -0.000000E+00  0.472840E+02
  0.000000E+00  0.194163E+01  0.203372E+01  0.290223E+01  0.271190E+01  0.271196E+01  0.290228E+01  0.203372E+01  0.194163E+01  0.000000E+00  0.628489E+02
  0.593970E+00  0.253226E+01  0.262009E+01  0.348869E+01  0.329820E+01  0.329827E+01  0.348874E+01  0.262009E+01  0.253226E+01  0.593970E+00  0.821119E+02
  0.137271E+01  0.329631E+01  0.338299E+01  0.424732E+01  0.405783E+01  0.405790E+01  0.424738E+01  0.338299E+01  0.329631E+01  0.137271E+01  0.107522E+03
  0.237305E+01  0.428159E+01  0.436807E+01  0.522693E+01  0.503862E+01  0.503871E+01  0.522700E+01  0.436807E+01  0.428159E+01  0.237305E+01  0.140918E+03
  0.365877E+01  0.555163E+01  0.563756E+01  0.649105E+01  0.630383E+01  0.630391E+01  0.649112E+01  0.563756E+01  0.555163E+01  0.365877E+01  0.184598E+03
  0.530838E+01  0.718579E+01  0.727083E+01  0.811885E+01  0.793303E+01  0.793314E+01  0.811895E+01  0.727083E+01  0.718579E+01  0.530838E+01  0.241559E+03
  0.742260E+01  0.928232E+01  0.936872E+01  0.102103E+02  0.100257E+02  0.100258E+02  0.102104E+02  0.936872E+01  0.928232E+01  0.742260E+01  0.315406E+03
  0.101238E+02  0.119679E+02  0.120528E+02  0.128873E+02  0.127042E+02  0.127043E+02  0.128874E+02  0.120528E+02  0.119679E+02  0.101238E+02  0.410685E+03
  0.135649E+02  0.153910E+02  0.154755E+02  0.163049E+02  0.161231E+02  0.161232E+02  0.163050E+02  0.154755E+02  0.153910E+02  0.135649E+02  0.532827E+03
